timestamp,packet_seq,packet_type,packet_size,send_time,ack_time,rtt_ms,instant_throughput_mbps,
2024-12-02-15:53:43,161,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:43,300.4268,0.272679,
2024-12-02-15:53:43,162,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:43,273.2689,0.299778,
2024-12-02-15:53:43,163,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:43,325.795,0.251446,
2024-12-02-15:53:43,164,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:43,455.8727,0.179699,
2024-12-02-15:53:43,165,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:44,720.9256,0.113632,
2024-12-02-15:53:43,166,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:44,684.9791,0.119595,
2024-12-02-15:53:43,167,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:44,672.8081,0.121758,
2024-12-02-15:53:43,168,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:44,670.0095,0.122267,
2024-12-02-15:53:43,169,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:44,659.2278,0.124267,
2024-12-02-15:53:44,170,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,138.9809,0.589434,
2024-12-02-15:53:44,171,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,266.8346,0.307007,
2024-12-02-15:53:44,172,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,280.9542,0.291578,
2024-12-02-15:53:44,173,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,286.574,0.28586,
2024-12-02-15:53:44,174,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,288.0889,0.284357,
2024-12-02-15:53:44,175,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,277.8864,0.294797,
2024-12-02-15:53:44,176,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,243.865,0.335924,
2024-12-02-15:53:44,177,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,150.7448,0.543435,
2024-12-02-15:53:44,178,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:44,256.7802,0.319028,
2024-12-02-15:53:44,179,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:45,457.5106,0.179056,
2024-12-02-15:53:44,180,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:45,463.5508,0.176723,
2024-12-02-15:53:44,181,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:45,432.7305,0.18931,
2024-12-02-15:53:44,182,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:45,442.167,0.185269,
2024-12-02-15:53:44,183,DATA,10240,2024-12-02-15:53:44,2024-12-02-15:53:45,512.2443,0.159924,
2024-12-02-15:53:45,184,DATA,10240,2024-12-02-15:53:45,2024-12-02-15:53:45,245.4293,0.333782,
2024-12-02-15:53:45,185,DATA,3913,2024-12-02-15:53:45,2024-12-02-15:53:45,369.9256,0.084622,
2024-12-02-15:53:45,186,DATA,10240,2024-12-02-15:53:45,2024-12-02-15:53:45,296.533,0.276259,
